date,a,b,c,d,e,f
17-08-2021,48.779999,50.490002,48.709999,50.419998,49.604122,68817000
18-08-2021,50.23,51.860001,49.169998,49.310001,48.512089,88598000
19-08-2021,48.5,49.959999,48.259998,48.799999,48.010342,57741600
20-08-2021,48.98,49.73,48.66,48.720001,47.931637,35157500
23-08-2021,50.290001,51.360001,49.599998,49.93,49.122059,88652400
24-08-2021,49.740002,50.049999,48.240002,48.380001,47.597137,52624100
25-08-2021,48.040001,48.279999,46.93,47.509998,46.741215,51036800
26-08-2021,47.700001,48.16,47.299999,47.380001,46.613319,29029300
27-08-2021,47.369999,47.5,46.529999,46.599998,45.84594,32924500
30-08-2021,46.200001,47.16,46.16,46.759998,46.003349,25774400
31-08-2021,46.720001,47.139999,45.93,46.07,45.324516,34547800
01-09-2021,46.189999,46.259998,45.419998,46.040001,45.295002,32900100
02-09-2021,46.48,46.869999,46.130001,46.84,46.082058,26106300
03-09-2021,46.900002,47.029999,46.34,46.84,46.082058,20817200
07-09-2021,46.990002,47.5,46.540001,46.75,45.993511,26236900
08-09-2021,46.509998,46.790001,46.25,46.509998,45.757397,15839600
09-09-2021,46.470001,46.720001,45.849998,46.029999,45.28516,21695300
10-09-2021,46.27,46.349998,45.509998,45.59,44.85228,20801500
13-09-2021,45.740002,45.830002,44.200001,44.580002,43.858627,37086200
14-09-2021,44.669998,45.259998,44.549999,44.709999,43.986523,24100200
15-09-2021,44.560001,45.369999,44.470001,44.77,44.045551,28674600
16-09-2021,44.880001,44.990002,44.029999,44.470001,43.750408,22424200
17-09-2021,44.169998,44.459999,43.310001,43.889999,43.17979,56370500
20-09-2021,43.389999,44.650002,43.389999,44.200001,43.484776,41873000
21-09-2021,44.25,44.73,43.849998,43.919998,43.209305,23645600
22-09-2021,43.990002,44.389999,43.830002,43.950001,43.238819,22616700
23-09-2021,44.279999,44.720001,44.150002,44.189999,43.474937,19719200
24-09-2021,44.07,44.41,43.810001,43.939999,43.228981,16150700
27-09-2021,43.919998,44.130001,43.509998,43.57,42.864967,19955900
28-09-2021,43.07,43.279999,42.43,43.040001,42.343548,28512200
29-09-2021,43.220001,43.689999,43.080002,43.529999,42.825615,18037200
30-09-2021,43.790001,44.049999,42.970001,43.009998,42.31403,21103300
01-10-2021,42.52,43.099998,41.700001,42.93,42.235325,38483000
04-10-2021,42.93,43.349998,42.209999,42.419998,41.733578,28906500
05-10-2021,42.529999,42.790001,42.279999,42.32,41.635197,19342600
06-10-2021,42.060001,42.200001,41.689999,42.02,41.34005,30483800
07-10-2021,42.52,42.959999,42.209999,42.740002,42.048401,19778300
08-10-2021,42.73,42.91,42.34,42.450001,41.763096,12778600
11-10-2021,42.450001,42.619999,42.009998,42.060001,41.379406,11984200
12-10-2021,42.16,42.209999,41.66,41.849998,41.172798,16222300
13-10-2021,41.75,41.91,40.939999,41.419998,40.74976,28205700
14-10-2021,41.560001,41.959999,41.52,41.669998,40.995712,17590300
15-10-2021,41.900002,42.029999,41.380001,41.490002,40.81863,23550300
18-10-2021,41.450001,41.700001,41.040001,41.32,40.651379,21733000
19-10-2021,41.599998,42.200001,41.540001,42.09,41.40892,17159800
20-10-2021,42.119999,43.110001,42.099998,42.799999,42.10743,22788300
21-10-2021,43.060001,43.09,42.43,42.860001,42.166462,22142300
22-10-2021,42.82,43.189999,42.630001,43.16,42.461605,17183000
25-10-2021,43.200001,43.240002,42.57,43.150002,42.451767,22846200
26-10-2021,43.330002,43.759998,42.919998,43.560001,42.855133,29729100
27-10-2021,43.459999,43.560001,42.68,42.970001,42.274681,22317500
28-10-2021,42.950001,43.669998,42.939999,43.18,42.481281,18023400
29-10-2021,43.09,43.830002,42.860001,43.740002,43.032223,30307500
01-11-2021,44.139999,44.290001,43.439999,43.639999,42.933838,32681500
02-11-2021,45.080002,46.040001,43.049999,45.450001,44.714546,69248000
03-11-2021,45.52,45.990002,44.48,44.82,44.094746,44593100
04-11-2021,44.290001,44.470001,43.310001,43.849998,43.519115,38172500
